episode_id,euphemism_gradient,cta_depth,future_framing,synthetic
syn-b-00028,0,1,True,True
syn-b-00044,1,2,True,True
syn-b-00053,2,0,False,True
syn-b-00057,0,0,True,True
syn-b-00072,1,2,True,True
syn-b-00099,1,0,False,True
syn-b-00112,1,3,True,True
syn-b-00115,2,0,False,True
syn-b-00124,2,1,True,True
syn-b-00126,1,0,False,True
syn-b-00137,1,0,False,True
syn-b-00172,0,0,False,True
syn-b-00190,2,2,False,True
syn-b-00206,0,0,False,True
syn-b-00214,1,1,False,True
syn-b-00219,2,0,False,True
syn-b-00244,2,3,False,True
syn-b-00248,1,3,True,True
syn-b-00270,0,2,True,True
syn-b-00271,1,0,False,True
syn-b-00276,1,0,False,True
syn-b-00296,0,2,True,True
syn-b-00297,2,0,False,True
syn-b-00308,0,1,True,True
syn-b-00329,2,3,True,True
syn-b-00330,0,2,True,True
syn-b-00342,1,2,True,True
syn-b-00343,1,2,True,True
syn-b-00356,1,0,False,True
syn-b-00375,0,0,True,True
syn-b-00402,1,0,False,True
syn-b-00422,2,2,True,True
syn-b-00425,0,0,False,True
syn-b-00435,1,4,True,True
syn-b-00484,1,3,True,True
syn-b-00501,0,0,False,True
syn-b-00536,1,0,False,True
syn-b-00540,1,1,False,True
syn-b-00593,2,0,False,True
syn-b-00607,1,0,True,True
syn-b-00612,1,1,False,True
syn-b-00617,0,4,False,True
syn-b-00644,1,0,False,True
syn-b-00674,1,0,False,True
syn-b-00691,2,0,False,True
syn-b-00693,2,0,False,True
syn-b-00694,2,1,False,True
syn-b-00720,1,0,False,True
